Name,Logo,Latitude,Longitude,Cuisine tags
,,,,
Gino's Deli,https://images.deliveryhero.io/image/talabat/restaurants/logo_-_2021-11-23T17_637732788146540497.jpg?width=180,25.06485836,55.13837727,"Sandwiches, Pasta, Italian"
,,,,
Pasta Della Nonna,https://images.deliveryhero.io/image/talabat/restaurants/Logos_PastaDellaNonna_Sec637794192311679134.jpg?width=180,25.0651332,55.13827815,"Italian, Pasta, Salad"
,,,,
Pizzaro,https://images.deliveryhero.io/image/talabat/restaurants/pizzaro_logo_2_(500x_637901901529791866.jpg?width=180,25.083309,55.146559,"Italian, Pizza, Pasta"
,,,,
The Pasta Guyz,https://images.deliveryhero.io/image/talabat/restaurants/ThePastaGuyz-Logo_637563263478806436.jpg?width=180,25.07377589,55.13228319,"Italian, Pasta"
,,,,
Pizza Di Rocco,https://images.deliveryhero.io/image/talabat/restaurants/PDR_WineRed_Logo_637661895331887248.jpg?width=180,25.0650915,55.1387907,"Pizza, Pasta, Italian"
,,,,
,,,,
China Garden,https://images.deliveryhero.io/image/talabat/restaurants/CG_634879852809332125.jpg?width=180,25.184474,55.238317,"Chinese, Seafood"
,,,,
Ketchup & Mustard,https://images.deliveryhero.io/image/talabat/restaurants/Ketchup_and_Mustard_636128983577241480.jpg?width=180,24.47837521,54.35876521,"American, Burgers, Street food"
,,,,
Mama's Pasta By WeDallas,https://images.deliveryhero.io/image/talabat/restaurants/logo_(58)_6374105550_637412141450544237.png?width=180,25.36467707,55.40630573,"Italian, Pizza, Pasta"
,,,,
Aroos Al Nile Restaurant,https://images.deliveryhero.io/image/talabat/restaurants/aroos_al_nile__logo__636997152092827385.jpg?width=180,25.40295152,55.44265226,"Seafood, Egyptian"
,,,,
Makhmakha Cafe,https://images.deliveryhero.io/image/talabat/restaurants/LOGO_(1)_(1)_637345624827879709.jpg?width=180,24.40085363,54.7329628,"Cafe, Desserts, Beverages"
