S.no,Items,Description,Price(in AED),Image url
0,Additional Sauce,,5.25,
1,Chicken Dumpling,Chicken Translucent Dumpling steamed or fried,31.5,https://images.deliveryhero.io/image/talabat/Menuitems/8B6AC862BB68857D8C4C58712959A4B6?width=172&amp;height=172
2,Chicken Wings,Hong kong crispy fried chicken wings,31.5,https://images.deliveryhero.io/image/talabat/Menuitems/7656D288B03CC8F4CFB1CF93CE9E7D0F?width=172&amp;height=172
3,Corn on Toast,Golden Fried Crispy and crunchy corn Toast,29.4,
4,Dragon Phoenix Wrap,Mixed of chicken with prawn minced fried with sweet and spicy sauce.,41.9,
5,Drums of Heaven,Hong kong crispy fried chicken lollipop,31.5,https://images.deliveryhero.io/image/talabat/Menuitems/D57D64234A45A34F860E5795A6750C50?width=172&amp;height=172
6,Egg Fu Yung,Chinese omelet mixed with mushrooms options of chicken or shrimps,25.2,
7,Fish Fingers,,36.75,
8,French Fries,,16.8,https://images.deliveryhero.io/image/talabat/Menuitems/5B33BB02E1B9B8388B05546FD593A09F?width=172&amp;height=172
9,Fried Chicken Balls - Spicy,Crunchy golden chicken balls,31.5,https://images.deliveryhero.io/image/talabat/Menuitems/6A44DF2349707B3F69EC79290189D0EC?width=172&amp;height=172
10,Fried Fish Fillet,,36.75,https://images.deliveryhero.io/image/talabat/Menuitems/DB68644D445506E7FF597BC219D3E7B3?width=172&amp;height=172
11,Fried Pepper,Crunchy chicken or fish  tossed in our signature pepper seasoning.,31.5,
12,Golden Fried Prawns,crunchy golden fried tempura prawns,47.25,https://images.deliveryhero.io/image/talabat/Menuitems/F8CB8F960A4A7C026F9DE2C6A0FC16D4?width=172&amp;height=172
13,Golden Fried Squid,crunchy golden fried squid,36.75,https://images.deliveryhero.io/image/talabat/Menuitems/3ECAADB5F8EB51E563685D8F308C735D?width=172&amp;height=172
14,Prawn Cracker,,16.8,
15,Rainbow Dumpling,,31.5,
16,Satay Chicken,"coconut marinated tender chicken skewers served
with peanut sauce",36.75,
17,Sesame Prawn on Toast,Golden Fried Crispy and Juicy Prawn Toast,44.1,https://images.deliveryhero.io/image/talabat/Menuitems/272FD96C3F1D8BCD6590F3F67272D78D?width=172&amp;height=172
18,Siu Mai,A Traditional Chinese Steamed Open Dumpling With Chicken or Prawn Filling,35.7,https://images.deliveryhero.io/image/talabat/Menuitems/66E6E9D1D982E6559C8FD442CCF6CC03?width=172&amp;height=172
19,Spring Rolls,"All time Favorite Chinese street Crispy Fried Rolls with
Chicken or vegetable filling.",24.15,https://images.deliveryhero.io/image/talabat/Menuitems/EA8D0B22E68DB1D1F51C08BE654D209A?width=172&amp;height=172
